NodeID,ConnectedNodeID,Distance,Coordinates,Intersection_Name
0,1,150,"(1352508.499959007, 406084.250090763)","['HOT METAL ST', 'TUNNEL BLVD']"
0,2,455,"(1352508.499959007, 406084.250090763)","['HOT METAL ST', 'TUNNEL BLVD']"
0,5,300,"(1352508.499959007, 406084.250090763)","['HOT METAL ST', 'TUNNEL BLVD']"
1,0,150,"(1352611.7500805855, 406193.25020083785)","['HOT METAL ST', 'SOUTH WATER ST']"
1,35,461,"(1352611.7500805855, 406193.25020083785)","['HOT METAL ST', 'SOUTH WATER ST']"
1,111,77,"(1352611.7500805855, 406193.25020083785)","['HOT METAL ST', 'SOUTH WATER ST']"
1,1200,4626,"(1352611.7500805855, 406193.25020083785)","['HOT METAL ST', 'SOUTH WATER ST']"
2,0,455,"(1352173.2499733418, 406392.7504580021)","['TUNNEL BLVD', 'S 28TH ST']"
2,4,306,"(1352173.2499733418, 406392.7504580021)","['TUNNEL BLVD', 'S 28TH ST']"
2,35,99,"(1352173.2499733418, 406392.7504580021)","['TUNNEL BLVD', 'S 28TH ST']"
2,1145,300,"(1352173.2499733418, 406392.7504580021)","['TUNNEL BLVD', 'S 28TH ST']"
3,4,400,"(1351692.2499510944, 405875.0001811683)","['S 28TH ST', 'E CARSON ST']"
3,6,459,"(1351692.2499510944, 405875.0001811683)","['S 28TH ST', 'E CARSON ST']"
3,108,474,"(1351692.2499510944, 405875.0001811683)","['S 28TH ST', 'E CARSON ST']"
3,1201,164,"(1351692.2499510944, 405875.0001811683)","['S 28TH ST', 'E CARSON ST']"
4,2,306,"(1351968.0000557601, 406164.9999292493)","['S 28TH ST', 'SIDNEY ST']"
4,3,400,"(1351968.0000557601, 406164.9999292493)","['S 28TH ST', 'SIDNEY ST']"
4,5,453,"(1351968.0000557601, 406164.9999292493)","['S 28TH ST', 'SIDNEY ST']"
4,1035,298,"(1351968.0000557601, 406164.9999292493)","['S 28TH ST', 'SIDNEY ST']"
5,0,300,"(1352305.2500374168, 405862.24987858534)","['SIDNEY ST', 'HOT METAL ST']"
5,4,453,"(1352305.2500374168, 405862.24987858534)","['SIDNEY ST', 'HOT METAL ST']"
5,6,409,"(1352305.2500374168, 405862.24987858534)","['SIDNEY ST', 'HOT METAL ST']"
5,1158,770,"(1352305.2500374168, 405862.24987858534)","['SIDNEY ST', 'HOT METAL ST']"
6,3,459,"(1352027.999935761, 405561.5004800856)","['E CARSON ST', 'HOT METAL ST']"
6,5,409,"(1352027.999935761, 405561.5004800856)","['E CARSON ST', 'HOT METAL ST']"
6,647,105,"(1352027.999935761, 405561.5004800856)","['E CARSON ST', 'HOT METAL ST']"
7,8,170,"(1359255.999915421, 405716.499842003)","['GREENFIELD AVE', 'RONALD ST']"
7,81,121,"(1359255.999915421, 405716.499842003)","['GREENFIELD AVE', 'RONALD ST']"
7,93,115,"(1359255.999915421, 405716.499842003)","['GREENFIELD AVE', 'RONALD ST']"
8,7,170,"(1359299.4834242612, 405551.65371499956)","['GREENFIELD AVE', 'BORDER']"
8,93,184,"(1359299.4834242612, 405551.65371499956)","['GREENFIELD AVE', 'BORDER']"
8,178,612,"(1359299.4834242612, 405551.65371499956)","['GREENFIELD AVE', 'BORDER']"
9,10,722,"(1358890.9999892563, 404730.25017409027)","['GREER ST', 'WINTERBURN AVE']"
9,893,288,"(1358890.9999892563, 404730.25017409027)","['GREER ST', 'WINTERBURN AVE']"
9,968,117,"(1358890.9999892563, 404730.25017409027)","['GREER ST', 'WINTERBURN AVE']"
10,9,722,"(1359541.0000015944, 404523.25026001036)","['GREER ST', 'GLEN LYTLE RD']"
10,990,85,"(1359541.0000015944, 404523.25026001036)","['GREER ST', 'GLEN LYTLE RD']"
10,1202,679,"(1359541.0000015944, 404523.25026001036)","['GREER ST', 'GLEN LYTLE RD']"
11,1099,105,"(1351823.5000166744, 406718.75013409555)","['S 27TH ST', 'TUNNEL BLVD']"
11,1145,177,"(1351823.5000166744, 406718.75013409555)","['S 27TH ST', 'TUNNEL BLVD']"
11,1175,298,"(1351823.5000166744, 406718.75013409555)","['S 27TH ST', 'TUNNEL BLVD']"
11,1203,362,"(1351823.5000166744, 406718.75013409555)","['S 27TH ST', 'TUNNEL BLVD']"
12,324,270,"(1352168.4999828339, 415567.50015309453)","['HERRON AVE', 'WEBSTER AVE', 'BEDFORD AVE']"
12,694,601,"(1352168.4999828339, 415567.50015309453)","['HERRON AVE', 'WEBSTER AVE', 'BEDFORD AVE']"
12,1105,471,"(1352168.4999828339, 415567.50015309453)","['HERRON AVE', 'WEBSTER AVE', 'BEDFORD AVE']"
12,1204,786,"(1352168.4999828339, 415567.50015309453)","['HERRON AVE', 'WEBSTER AVE', 'BEDFORD AVE']"
12,1205,426,"(1352168.4999828339, 415567.50015309453)","['HERRON AVE', 'WEBSTER AVE', 'BEDFORD AVE']"
13,41,237,"(1359940.7498582602, 410844.25008517504)","['SCHENLEY RD', 'BORDER']"
13,42,385,"(1359940.7498582602, 410844.25008517504)","['SCHENLEY RD', 'BORDER']"
13,1206,272,"(1359940.7498582602, 410844.25008517504)","['SCHENLEY RD', 'BORDER']"
14,15,223,"(1362374.4999120086, 409670.0001370907)","['WIGHTMAN ST', 'HOLLENDEN PL', 'ALLEY']"
14,566,238,"(1362374.4999120086, 409670.0001370907)","['WIGHTMAN ST', 'HOLLENDEN PL', 'ALLEY']"
14,1207,180,"(1362374.4999120086, 409670.0001370907)","['WIGHTMAN ST', 'HOLLENDEN PL', 'ALLEY']"
14,1208,184,"(1362374.4999120086, 409670.0001370907)","['WIGHTMAN ST', 'HOLLENDEN PL', 'ALLEY']"
15,14,223,"(1362375.9999090135, 409446.7502555102)","['WIGHTMAN ST', 'DARLINGTON RD']"
15,824,173,"(1362375.9999090135, 409446.7502555102)","['WIGHTMAN ST', 'DARLINGTON RD']"
15,826,375,"(1362375.9999090135, 409446.7502555102)","['WIGHTMAN ST', 'DARLINGTON RD']"
15,827,830,"(1362375.9999090135, 409446.7502555102)","['WIGHTMAN ST', 'DARLINGTON RD']"
16,17,493,"(1357199.750090927, 408859.75011716783)","['PANTHER HOLLOW RD', 'OVERLOOK DR']"
16,548,305,"(1357199.750090927, 408859.75011716783)","['PANTHER HOLLOW RD', 'OVERLOOK DR']"
16,733,351,"(1357199.750090927, 408859.75011716783)","['PANTHER HOLLOW RD', 'OVERLOOK DR']"
16,869,128,"(1357199.750090927, 408859.75011716783)","['PANTHER HOLLOW RD', 'OVERLOOK DR']"
17,16,493,"(1357142.855847761, 409305.88734824955)","['PANTHER HOLLOW RD', 'BORDER']"
17,25,82,"(1357142.855847761, 409305.88734824955)","['PANTHER HOLLOW RD', 'BORDER']"
17,60,114,"(1357142.855847761, 409305.88734824955)","['PANTHER HOLLOW RD', 'BORDER']"
18,19,277,"(1352903.7501527518, 408598.99998250604)","['LAWN ST', 'KENNETT SQ']"
18,133,180,"(1352903.7501527518, 408598.99998250604)","['LAWN ST', 'KENNETT SQ']"
18,567,28,"(1352903.7501527518, 408598.99998250604)","['LAWN ST', 'KENNETT SQ']"
19,18,277,"(1353143.0000023395, 408458.50026351213)","['LAWN ST', 'NIAGARA ST']"
19,763,190,"(1353143.0000023395, 408458.50026351213)","['LAWN ST', 'NIAGARA ST']"
19,798,213,"(1353143.0000023395, 408458.50026351213)","['LAWN ST', 'NIAGARA ST']"
20,21,580,"(1354936.7500237525, 407076.5000747591)","['DAWSON ST', 'FRAZIER ST']"
20,787,171,"(1354936.7500237525, 407076.5000747591)","['DAWSON ST', 'FRAZIER ST']"
20,1077,216,"(1354936.7500237525, 407076.5000747591)","['DAWSON ST', 'FRAZIER ST']"
21,20,580,"(1355048.000129342, 407645.7499205023)","['DAWSON ST', 'DAWSON CT']"
21,1139,163,"(1355048.000129342, 407645.7499205023)","['DAWSON ST', 'DAWSON CT']"
21,1209,198,"(1355048.000129342, 407645.7499205023)","['DAWSON ST', 'DAWSON CT']"
22,23,127,"(1352083.0198388398, 411033.9281835109)","['TERRACE ST', 'CARLOW DR']"
22,327,18,"(1352083.0198388398, 411033.9281835109)","['TERRACE ST', 'CARLOW DR']"
22,1116,1491,"(1352083.0198388398, 411033.9281835109)","['TERRACE ST', 'CARLOW DR']"
23,22,127,"(1352207.4999048412, 411059.0003118366)","['TERRACE ST', 'DAULER WAY']"
23,47,237,"(1352207.4999048412, 411059.0003118366)","['TERRACE ST', 'DAULER WAY']"
23,1210,162,"(1352207.4999048412, 411059.0003118366)","['TERRACE ST', 'DAULER WAY']"
24,25,600,"(1357632.4998815954, 408873.2500901669)","['PANTHER HOLLOW RD', 'BLVD OF THE ALLIES']"
24,496,2461,"(1357632.4998815954, 408873.2500901669)","['PANTHER HOLLOW RD', 'BLVD OF THE ALLIES']"
24,733,119,"(1357632.4998815954, 408873.2500901669)","['PANTHER HOLLOW RD', 'BLVD OF THE ALLIES']"
25,17,82,"(1357225.0928880125, 409308.49298608303)","['PANTHER HOLLOW RD', 'BORDER']"
25,24,600,"(1357225.0928880125, 409308.49298608303)","['PANTHER HOLLOW RD', 'BORDER']"
25,60,133,"(1357225.0928880125, 409308.49298608303)","['PANTHER HOLLOW RD', 'BORDER']"
26,27,1140,"(1355759.5000186712, 411660.2500935942)","['SCHENLEY DR', 'SCHENLEY DR EXT']"
26,633,371,"(1355759.5000186712, 411660.2500935942)","['SCHENLEY DR', 'SCHENLEY DR EXT']"
26,696,432,"(1355759.5000186712, 411660.2500935942)","['SCHENLEY DR', 'SCHENLEY DR EXT']"
27,26,1140,"(1356716.000074178, 411050.2500012517)","['SCHENLEY DR', 'FREW ST']"
27,264,89,"(1356716.000074178, 411050.2500012517)","['SCHENLEY DR', 'FREW ST']"
27,583,411,"(1356716.000074178, 411050.2500012517)","['SCHENLEY DR', 'FREW ST']"
27,621,933,"(1356716.000074178, 411050.2500012517)","['SCHENLEY DR', 'FREW ST']"
28,274,338,"(1351866.8158749193, 404269.50043942034)","['JOSEPHINE ST', 'BORDER']"
28,1211,871,"(1351866.8158749193, 404269.50043942034)","['JOSEPHINE ST', 'BORDER']"
28,1212,173,"(1351866.8158749193, 404269.50043942034)","['JOSEPHINE ST', 'BORDER']"
29,30,22,"(1354886.2501247525, 409650.500176087)","['SEMPLE ST', 'URIE WAY']"
29,612,226,"(1354886.2501247525, 409650.500176087)","['SEMPLE ST', 'URIE WAY']"
29,636,135,"(1354886.2501247525, 409650.500176087)","['SEMPLE ST', 'URIE WAY']"
30,29,22,"(1354901.5000942498, 409633.4998820126)","['SEMPLE ST', 'SAINT JAMES PL']"
