NodeID,ConnectedNodeID,Distance,Coordinates,Intersection_Name
0,1,242,"(1359789.5001607537, 407536.0001400113)","['PROSPECT DR', 'BORDER']"
0,531,1185,"(1359789.5001607537, 407536.0001400113)","['PROSPECT DR', 'BORDER']"
1,0,242,"(1359572.999937594, 407440.25000342727)","['PROSPECT DR', 'BORDER']"
2,3,518,"(1360651.7500766665, 409576.4999960065)","['DARLINGTON RD', 'DARLINGTON CT']"
2,245,273,"(1360651.7500766665, 409576.4999960065)","['DARLINGTON RD', 'DARLINGTON CT']"
2,300,252,"(1360651.7500766665, 409576.4999960065)","['DARLINGTON RD', 'DARLINGTON CT']"
3,2,518,"(1360739.7499006689, 409065.7500332594)","['DARLINGTON RD', 'E CIRCUIT RD']"
3,149,880,"(1360739.7499006689, 409065.7500332594)","['DARLINGTON RD', 'E CIRCUIT RD']"
3,433,504,"(1360739.7499006689, 409065.7500332594)","['DARLINGTON RD', 'E CIRCUIT RD']"
4,5,116,"(1358191.0000769198, 406234.500118345)","['COLEMAN ST', 'BORDER']"
5,4,116,"(1358220.7500174195, 406122.00034333766)","['COLEMAN ST', 'NEEB ST']"
5,37,346,"(1358220.7500174195, 406122.00034333766)","['COLEMAN ST', 'NEEB ST']"
5,308,112,"(1358220.7500174195, 406122.00034333766)","['COLEMAN ST', 'NEEB ST']"
5,525,227,"(1358220.7500174195, 406122.00034333766)","['COLEMAN ST', 'NEEB ST']"
6,7,216,"(1354784.9999991804, 407230.7504224181)","['FRAZIER ST', 'FOWLKES WAY']"
6,77,144,"(1354784.9999991804, 407230.7504224181)","['FRAZIER ST', 'FOWLKES WAY']"
6,204,271,"(1354784.9999991804, 407230.7504224181)","['FRAZIER ST', 'FOWLKES WAY']"
7,6,216,"(1354936.7500237525, 407076.5000747591)","['FRAZIER ST', 'DAWSON ST']"
7,224,171,"(1354936.7500237525, 407076.5000747591)","['FRAZIER ST', 'DAWSON ST']"
7,540,580,"(1354936.7500237525, 407076.5000747591)","['FRAZIER ST', 'DAWSON ST']"
8,9,2461,"(1357632.4998815954, 408873.2500901669)","['PANTHER HOLLOW RD', 'BLVD OF THE ALLIES']"
8,220,119,"(1357632.4998815954, 408873.2500901669)","['PANTHER HOLLOW RD', 'BLVD OF THE ALLIES']"
8,280,600,"(1357632.4998815954, 408873.2500901669)","['PANTHER HOLLOW RD', 'BLVD OF THE ALLIES']"
9,8,2461,"(1359890.9999577552, 408074.00004824996)","['PANTHER HOLLOW RD', 'BARTLETT RD', 'HOBART RD', 'GREENFIELD RD']"
9,57,993,"(1359890.9999577552, 408074.00004824996)","['PANTHER HOLLOW RD', 'BARTLETT RD', 'HOBART RD', 'GREENFIELD RD']"
9,110,277,"(1359890.9999577552, 408074.00004824996)","['PANTHER HOLLOW RD', 'BARTLETT RD', 'HOBART RD', 'GREENFIELD RD']"
9,239,520,"(1359890.9999577552, 408074.00004824996)","['PANTHER HOLLOW RD', 'BARTLETT RD', 'HOBART RD', 'GREENFIELD RD']"
10,11,345,"(1353446.7500510067, 410384.2503490001)","['IROQUOIS WAY', 'COLTART AVE']"
10,36,189,"(1353446.7500510067, 410384.2503490001)","['IROQUOIS WAY', 'COLTART AVE']"
10,182,505,"(1353446.7500510067, 410384.2503490001)","['IROQUOIS WAY', 'COLTART AVE']"
10,536,210,"(1353446.7500510067, 410384.2503490001)","['IROQUOIS WAY', 'COLTART AVE']"
11,10,345,"(1353705.7498610914, 410612.24989300966)","['IROQUOIS WAY', 'MCKEE PL']"
11,12,193,"(1353705.7498610914, 410612.24989300966)","['IROQUOIS WAY', 'MCKEE PL']"
11,325,501,"(1353705.7498610914, 410612.24989300966)","['IROQUOIS WAY', 'MCKEE PL']"
12,11,193,"(1353577.2504461706, 410757.24993108213)","['MCKEE PL', 'FORBES AVE']"
12,36,346,"(1353577.2504461706, 410757.24993108213)","['MCKEE PL', 'FORBES AVE']"
12,338,165,"(1353577.2504461706, 410757.24993108213)","['MCKEE PL', 'FORBES AVE']"
12,552,228,"(1353577.2504461706, 410757.24993108213)","['MCKEE PL', 'FORBES AVE']"
13,660,1003,"(1363550.071051672, 413874.3686968386)","['E WOODLAND RD', 'BORDER']"
14,15,345,"(1354156.9999428391, 411738.74993659556)","['S BOUQUET ST', '5TH AVE', 'N BOUQUET ST']"
14,269,159,"(1354156.9999428391, 411738.74993659556)","['S BOUQUET ST', '5TH AVE', 'N BOUQUET ST']"
14,439,335,"(1354156.9999428391, 411738.74993659556)","['S BOUQUET ST', '5TH AVE', 'N BOUQUET ST']"
14,487,649,"(1354156.9999428391, 411738.74993659556)","['S BOUQUET ST', '5TH AVE', 'N BOUQUET ST']"
15,14,345,"(1354430.0003810972, 411526.2500335127)","['S BOUQUET ST', 'FORBES AVE']"
15,333,306,"(1354430.0003810972, 411526.2500335127)","['S BOUQUET ST', 'FORBES AVE']"
15,384,940,"(1354430.0003810972, 411526.2500335127)","['S BOUQUET ST', 'FORBES AVE']"
15,470,204,"(1354430.0003810972, 411526.2500335127)","['S BOUQUET ST', 'FORBES AVE']"
16,17,692,"(1358274.6403295845, 414401.89257617295)","['MOREWOOD AVE', 'BORDER']"
17,16,692,"(1358323.0001410097, 413997.50001224875)","['MOREWOOD AVE', 'CASTLEMAN ST']"
17,237,580,"(1358323.0001410097, 413997.50001224875)","['MOREWOOD AVE', 'CASTLEMAN ST']"
17,335,827,"(1358323.0001410097, 413997.50001224875)","['MOREWOOD AVE', 'CASTLEMAN ST']"
18,185,431,"(1361252.7498589307, 405518.250238508)","['FRANK ST', 'WELFER ST']"
18,661,260,"(1361252.7498589307, 405518.250238508)","['FRANK ST', 'WELFER ST']"
18,662,711,"(1361252.7498589307, 405518.250238508)","['FRANK ST', 'WELFER ST']"
19,20,106,"(1355228.3898604214, 407147.13051092625)","['PARKVIEW AVE', 'ORPWOOD ST']"
19,190,125,"(1355228.3898604214, 407147.13051092625)","['PARKVIEW AVE', 'ORPWOOD ST']"
19,663,868,"(1355228.3898604214, 407147.13051092625)","['PARKVIEW AVE', 'ORPWOOD ST']"
20,19,106,"(1355244.750063926, 407252.25037942827)","['PARKVIEW AVE', 'CHILDS ST']"
20,93,148,"(1355244.750063926, 407252.25037942827)","['PARKVIEW AVE', 'CHILDS ST']"
20,617,512,"(1355244.750063926, 407252.25037942827)","['PARKVIEW AVE', 'CHILDS ST']"
21,22,162,"(1360523.0000060946, 413664.00035117567)","['5TH AVE', 'SCHOOLHOUSE LN']"
21,98,157,"(1360523.0000060946, 413664.00035117567)","['5TH AVE', 'SCHOOLHOUSE LN']"
21,664,153,"(1360523.0000060946, 413664.00035117567)","['5TH AVE', 'SCHOOLHOUSE LN']"
22,21,162,"(1360674.5000311732, 413721.749907583)","['5TH AVE', 'S AIKEN AVE']"
22,557,274,"(1360674.5000311732, 413721.749907583)","['5TH AVE', 'S AIKEN AVE']"
22,592,497,"(1360674.5000311732, 413721.749907583)","['5TH AVE', 'S AIKEN AVE']"
23,309,245,"(1356119.4999548346, 405550.00017499924)","['SYLVAN AVE', 'GREENFIELD AVE', 'FRAZIER ST']"
23,417,675,"(1356119.4999548346, 405550.00017499924)","['SYLVAN AVE', 'GREENFIELD AVE', 'FRAZIER ST']"
23,572,678,"(1356119.4999548346, 405550.00017499924)","['SYLVAN AVE', 'GREENFIELD AVE', 'FRAZIER ST']"
23,665,479,"(1356119.4999548346, 405550.00017499924)","['SYLVAN AVE', 'GREENFIELD AVE', 'FRAZIER ST']"
24,25,200,"(1354568.7501035929, 408307.49990934134)","['CATO ST', 'HARDIE WAY']"
24,252,324,"(1354568.7501035929, 408307.49990934134)","['CATO ST', 'HARDIE WAY']"
24,412,197,"(1354568.7501035929, 408307.49990934134)","['CATO ST', 'HARDIE WAY']"
24,524,724,"(1354568.7501035929, 408307.49990934134)","['CATO ST', 'HARDIE WAY']"
25,24,200,"(1354765.0000391752, 408268.24998784065)","['CATO ST', 'WARD ST']"
