NodeID,ConnectedNodeID,Distance,Coordinates,Intersection_Name
0,1,352,"(1359677.0003857613, 411656.5001010895)","['FORBES AVE', 'MARGARET MORRISON ST']"
0,85,308,"(1359677.0003857613, 411656.5001010895)","['FORBES AVE', 'MARGARET MORRISON ST']"
0,95,259,"(1359677.0003857613, 411656.5001010895)","['FORBES AVE', 'MARGARET MORRISON ST']"
1,0,352,"(1359874.0003198385, 411364.2500294149)","['FORBES AVE', 'NORMLEE PL']"
1,3,593,"(1359874.0003198385, 411364.2500294149)","['FORBES AVE', 'NORMLEE PL']"
1,190,268,"(1359874.0003198385, 411364.2500294149)","['FORBES AVE', 'NORMLEE PL']"
2,34,261,"(1361554.7499110848, 407822.24989558756)","['HOBART ST', 'MURDOCH RD']"
2,39,155,"(1361554.7499110848, 407822.24989558756)","['HOBART ST', 'MURDOCH RD']"
2,50,321,"(1361554.7499110848, 407822.24989558756)","['HOBART ST', 'MURDOCH RD']"
2,191,276,"(1361554.7499110848, 407822.24989558756)","['HOBART ST', 'MURDOCH RD']"
3,1,593,"(1360205.2503135055, 410871.75003017485)","['FORBES AVE', 'PLAINFIELD ST']"
3,64,357,"(1360205.2503135055, 410871.75003017485)","['FORBES AVE', 'PLAINFIELD ST']"
3,151,45,"(1360205.2503135055, 410871.75003017485)","['FORBES AVE', 'PLAINFIELD ST']"
4,65,237,"(1359792.2501552552, 410670.5004326701)","['SCHENLEY RD', 'BORDER']"
4,68,88,"(1359792.2501552552, 410670.5004326701)","['SCHENLEY RD', 'BORDER']"
4,192,409,"(1359792.2501552552, 410670.5004326701)","['SCHENLEY RD', 'BORDER']"
5,6,400,"(1356920.749992758, 408969.7498971671)","['BLVD OF THE ALLIES', 'OVERLOOK DR']"
5,47,446,"(1356920.749992758, 408969.7498971671)","['BLVD OF THE ALLIES', 'OVERLOOK DR']"
5,93,424,"(1356920.749992758, 408969.7498971671)","['BLVD OF THE ALLIES', 'OVERLOOK DR']"
5,130,510,"(1356920.749992758, 408969.7498971671)","['BLVD OF THE ALLIES', 'OVERLOOK DR']"
