NodeID,ConnectedNodeID,Distance,Coordinates,Intersection_Name
0,17,237,"(1359940.7498582602, 410844.25008517504)","['SCHENLEY RD', 'BORDER']"
0,18,385,"(1359940.7498582602, 410844.25008517504)","['SCHENLEY RD', 'BORDER']"
0,530,272,"(1359940.7498582602, 410844.25008517504)","['SCHENLEY RD', 'BORDER']"
1,2,223,"(1362374.4999120086, 409670.0001370907)","['WIGHTMAN ST', 'HOLLENDEN PL', 'ALLEY']"
1,224,238,"(1362374.4999120086, 409670.0001370907)","['WIGHTMAN ST', 'HOLLENDEN PL', 'ALLEY']"
1,531,180,"(1362374.4999120086, 409670.0001370907)","['WIGHTMAN ST', 'HOLLENDEN PL', 'ALLEY']"
1,532,184,"(1362374.4999120086, 409670.0001370907)","['WIGHTMAN ST', 'HOLLENDEN PL', 'ALLEY']"
2,1,223,"(1362375.9999090135, 409446.7502555102)","['WIGHTMAN ST', 'DARLINGTON RD']"
2,392,173,"(1362375.9999090135, 409446.7502555102)","['WIGHTMAN ST', 'DARLINGTON RD']"
2,393,375,"(1362375.9999090135, 409446.7502555102)","['WIGHTMAN ST', 'DARLINGTON RD']"
2,394,830,"(1362375.9999090135, 409446.7502555102)","['WIGHTMAN ST', 'DARLINGTON RD']"
3,4,493,"(1357199.750090927, 408859.75011716783)","['PANTHER HOLLOW RD', 'OVERLOOK DR']"
3,221,305,"(1357199.750090927, 408859.75011716783)","['PANTHER HOLLOW RD', 'OVERLOOK DR']"
3,338,351,"(1357199.750090927, 408859.75011716783)","['PANTHER HOLLOW RD', 'OVERLOOK DR']"
3,415,128,"(1357199.750090927, 408859.75011716783)","['PANTHER HOLLOW RD', 'OVERLOOK DR']"
4,3,493,"(1357142.855847761, 409305.88734824955)","['PANTHER HOLLOW RD', 'BORDER']"
4,8,82,"(1357142.855847761, 409305.88734824955)","['PANTHER HOLLOW RD', 'BORDER']"
4,27,114,"(1357142.855847761, 409305.88734824955)","['PANTHER HOLLOW RD', 'BORDER']"
5,6,580,"(1354936.7500237525, 407076.5000747591)","['DAWSON ST', 'FRAZIER ST']"
5,372,171,"(1354936.7500237525, 407076.5000747591)","['DAWSON ST', 'FRAZIER ST']"
5,472,216,"(1354936.7500237525, 407076.5000747591)","['DAWSON ST', 'FRAZIER ST']"
6,5,580,"(1355048.000129342, 407645.7499205023)","['DAWSON ST', 'DAWSON CT']"
6,504,163,"(1355048.000129342, 407645.7499205023)","['DAWSON ST', 'DAWSON CT']"
6,533,198,"(1355048.000129342, 407645.7499205023)","['DAWSON ST', 'DAWSON CT']"
7,8,600,"(1357632.4998815954, 408873.2500901669)","['PANTHER HOLLOW RD', 'BLVD OF THE ALLIES']"
7,193,2461,"(1357632.4998815954, 408873.2500901669)","['PANTHER HOLLOW RD', 'BLVD OF THE ALLIES']"
7,338,119,"(1357632.4998815954, 408873.2500901669)","['PANTHER HOLLOW RD', 'BLVD OF THE ALLIES']"
8,4,82,"(1357225.0928880125, 409308.49298608303)","['PANTHER HOLLOW RD', 'BORDER']"
